backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
/qX24VUDbumNnqSqeknaLrrlEYbz.jpg,"[10749, 27]",6114,en,Bram Stoker's Dracula,"When Dracula leaves the captive Jonathan Harker and Transylvania for London in search of Mina Murray, the reincarnation of Dracula's long-dead wife Elisabeta, obsessed vampire hunter Dr. Van Helsing sets out to end the madness.",42.225,/scFDS0U5uYAjcVTyjNc7GmcZw1q.jpg,1992-11-13,Bram Stoker's Dracula,False,7.5,4772
/bJXVRtm2zZ2g7IfgGSlTCNA8iDM.jpg,[37],33,en,Unforgiven,"William Munny is a retired, once-ruthless killer turned gentle widower and hog farmer. To help support his two motherless children, he accepts one last bounty-hunter mission to find the men who brutalized a prostitute. Joined by his former partner and a cocky greenhorn, he takes on a corrupt sheriff.",28.015,/54roTwbX9fltg85zjsmrooXAs12.jpg,1992-08-07,Unforgiven,False,7.9,4086
/8UjZdkSANL1x1SGrjvKiA7yhYBN.jpg,"[53, 9648]",402,en,Basic Instinct,A violent police detective investigates a brutal murder that might involve a manipulative and seductive novelist.,29.052,/76Ts0yoHk8kVQj9MMnoMixhRWoh.jpg,1992-03-20,Basic Instinct,False,6.9,3585
/H40nWdJngUc6gtytMAbElm9HOu.jpg,[18],881,en,A Few Good Men,"When cocky military lawyer Lt. Daniel Kaffee and his co-counsel, Lt. Cmdr. JoAnne Galloway, are assigned to a murder case, they uncover a hazing ritual that could implicate high-ranking officials such as shady Col. Nathan Jessep.",22.129,/rLOk4z9zL1tTukIYV56P94aZXKk.jpg,1992-12-11,A Few Good Men,False,7.5,3303
/fa03pD2qYmms4ZMgAv7PMqfFiGO.jpg,"[18, 10749]",9475,en,Scent of a Woman,"Charlie Simms is a student at a private preparatory school who comes from a poor family. To earn the money for his flight home to Gresham, Oregon for Christmas, Charlie takes a job over Thanksgiving looking after retired U.S. Army officer Lieutenant Colonel Frank Slade, a cantankerous middle-aged man who lives with his niece and her family.",25.374,/f75Fsfx8nA8JfSdJ61jhC8JwHps.jpg,1992-12-23,Scent of a Woman,False,7.8,3136
/dalc1aMjUNIvTOVt5ZHt2zv6cm0.jpg,"[10751, 35, 16, 12]",11621,ja,紅の豚,"In Italy in the 1930s, sky pirates in biplanes terrorize wealthy cruise ships as they sail the Adriatic Sea. The only pilot brave enough to stop the scourge is the mysterious Porco Rosso, a former World War I flying ace who was somehow turned into a pig during the war. As he prepares to battle the pirate crew's American ace, Porco Rosso enlists the help of spunky girl mechanic Fio Piccolo and his longtime friend Madame Gina.",28.349,/8mIvSvnVBApfORL9N6S38Q7wD6A.jpg,1992-07-18,Porco Rosso,False,7.8,3050
/bNiBuekwqwNKFGSqlJRDZIF4ADB.jpg,"[10402, 35]",2005,en,Sister Act,"A Reno singer witnesses a mob murder and the cops stash her in a nunnery to protect her from the mob's hitmen. The mother superior does not trust her, and takes steps to limit her influence on the other nuns. Eventually the singer rescues the failing choir and begins helping with community projects, which gets her an interview on TV—and identification by the mob.",17.927,/xZvVSZ0RTxIjblLV87vs7ADM12m.jpg,1992-05-28,Sister Act,False,6.8,3002
/dpNZSFwPlbmCwfhvRpOYTOxwFXi.jpg,"[14, 27, 35]",766,en,Army of Darkness,"Ash, a handsome, shotgun-toting, chainsaw-armed department store clerk, is time warped backwards into England's Dark Ages, where he romances a beauty and faces legions of the undead.",29.792,/xsgTuAtR2zSH8Umg3jWZcZjlDpe.jpg,1992-10-31,Army of Darkness,False,7.3,2927
/mhpDSuNyHPMsccI7zISEaskTgOQ.jpg,"[28, 12, 18, 36, 10749, 10752]",9361,en,The Last of the Mohicans,"In war-torn colonial America, in the midst of a bloody battle between British, the French and Native American allies, the aristocratic daughter of a British Colonel and her party are captured by a group of Huron warriors. Fortunately, a group of three Mohican trappers comes to their rescue.",24.026,/qzJMPWRtZveBkxXOv3ucWhoJuyj.jpg,1992-08-26,The Last of the Mohicans,False,7.4,2854
/bJyb7Bk9PLUslPggangniTBLzHO.jpg,"[53, 28, 18, 10402, 10749]",619,en,The Bodyguard,"A former Secret Service agent grudgingly takes an assignment to protect a pop idol who's threatened by a crazed fan. At first, the safety-obsessed bodyguard and the self-indulgent diva totally clash. But before long, all that tension sparks fireworks of another sort, and the love-averse tough guy is torn between duty and romance.",24.417,/9XfwOFcJ3Bz1gh3aD6xaeM58B0e.jpg,1992-11-25,The Bodyguard,False,6.7,2744
